                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.3916,                 5.4217,                 4.4924,                      0,                      0,                      0,                      0,                 4.8134,                 5.5236,                 4.1711,             0.00021728,             0.00021728,             0.00021728
                      1,                 3.6115,                 4.3363,                 3.8573,                      0,                      0,                      0,                      0,                 4.8696,                 5.4897,                 4.2118,              0.0004222,              0.0004222,              0.0004222
                      2,                 2.8684,                 3.5214,                 3.2212,                0.00721,                0.21149,                 0.0278,                0.00712,                 3.7612,                 4.6266,                 3.4836,             0.00060952,             0.00060952,             0.00060952
                      3,                 2.4851,                  3.098,                  2.795,                0.74184,                 0.2908,                0.33815,                0.15221,                 2.0349,                 3.1508,                 2.4981,             0.00058776,             0.00058776,             0.00058776
                      4,                 2.1667,                 2.7747,                 2.5205,                 0.0542,                0.73117,                0.31637,                0.14884,                 1.9784,                 3.7822,                 2.4965,             0.00058776,             0.00058776,             0.00058776
                      5,                 1.9597,                 2.5282,                 2.3429,                0.46912,                0.74663,                0.62884,                0.31549,                  1.786,                  2.206,                 2.1569,             0.00056135,             0.00056135,             0.00056135
                      6,                 1.8501,                 2.3634,                 2.1823,                0.56677,                0.53576,                0.58696,                0.28089,                 1.9447,                 2.4359,                 2.2142,             0.00053493,             0.00053493,             0.00053493
                      7,                 1.7296,                 2.2578,                 2.0772,                0.43265,                 0.4936,                0.50715,                0.26797,                 1.5392,                 2.7007,                 2.0769,             0.00050852,             0.00050852,             0.00050852
                      8,                 1.6515,                 2.1259,                 2.0037,                0.55054,                0.83959,                0.72225,                0.36225,                 1.7583,                 1.8258,                 1.9688,             0.00048211,             0.00048211,             0.00048211
                      9,                 1.6391,                 2.0266,                 1.9746,                0.65431,                0.85777,                0.81699,                0.48295,                  1.482,                 1.6996,                 1.8065,             0.00045569,             0.00045569,             0.00045569
                     10,                 1.5651,                 2.0032,                 1.8787,                 0.5628,                0.73436,                0.74817,                0.44427,                 1.4544,                 1.8194,                 1.7627,             0.00042928,             0.00042928,             0.00042928
                     11,                 1.5557,                 1.9053,                 1.8574,                 0.5767,                0.75605,                 0.7074,                0.41183,                    1.5,                 1.8283,                 1.7726,             0.00040287,             0.00040287,             0.00040287
                     12,                 1.4766,                 1.8143,                 1.8081,                0.73945,                0.72294,                0.82282,                 0.5351,                 1.3274,                 1.5201,                 1.6801,             0.00037645,             0.00037645,             0.00037645
                     13,                 1.4796,                 1.7795,                 1.7933,                 0.8641,                 0.6419,                0.82501,                0.50525,                 1.4509,                 1.7803,                 1.7868,             0.00035004,             0.00035004,             0.00035004
                     14,                 1.4177,                 1.7246,                 1.7464,                0.68636,                0.92266,                0.87811,                0.57895,                 1.2488,                 1.3706,                 1.5905,             0.00032363,             0.00032363,             0.00032363
                     15,                 1.4079,                  1.655,                 1.7278,                  0.662,                0.86466,                0.85655,                0.55998,                 1.2872,                 1.4067,                 1.6541,             0.00029722,             0.00029722,             0.00029722
                     16,                 1.3958,                 1.5874,                 1.7086,                0.59622,                0.88755,                0.87553,                0.54554,                 1.2945,                 1.5003,                 1.5998,              0.0002708,              0.0002708,              0.0002708
                     17,                 1.3811,                 1.5594,                 1.6996,                0.85622,                0.85118,                0.91706,                0.58254,                 1.2944,                  1.253,                 1.6135,             0.00024439,             0.00024439,             0.00024439
                     18,                 1.3452,                 1.4969,                 1.6671,                 0.7572,                0.88873,                0.90925,                0.63257,                 1.2227,                 1.2265,                 1.5915,             0.00021798,             0.00021798,             0.00021798
                     19,                 1.2984,                 1.4206,                 1.6291,                0.81324,                0.83856,                0.89926,                0.62962,                 1.1675,                 1.2715,                 1.4782,             0.00019156,             0.00019156,             0.00019156
                     20,                 1.2975,                 1.3798,                 1.6145,                0.78949,                0.90249,                0.94081,                0.62729,                 1.2243,                 1.1124,                 1.5594,             0.00016515,             0.00016515,             0.00016515
                     21,                 1.2687,                 1.3698,                 1.6243,                0.90173,                0.88273,                0.91576,                0.63504,                 1.1796,                  1.157,                 1.5851,             0.00013874,             0.00013874,             0.00013874
                     22,                 1.2709,                 1.3271,                 1.5848,                0.92507,                0.82615,                0.93126,                 0.6279,                 1.2092,                 1.0795,                 1.5354,             0.00011232,             0.00011232,             0.00011232
                     23,                 1.2537,                 1.3134,                 1.5713,                0.90508,                0.84632,                 0.9543,                0.67821,                 1.1287,                 1.0408,                 1.5182,              8.591e-05,              8.591e-05,              8.591e-05
                     24,                 1.2481,                 1.3065,                 1.5888,                0.89561,                0.89741,                0.94961,                0.69878,                 1.1065,                 1.0705,                 1.5659,             5.9496e-05,             5.9496e-05,             5.9496e-05
